"","tweet","date","isretweet","retweets","score","product","city","country","duplicated"
"119",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /nPoLRMYfQP,2021-06-06 12-13-08,FALSE,4,0,Apple iPhone,LA,USA,FALSE
"120",RT @theapplehub: According to Bloombergs Mark Gurman, Apple is testing a glass back on a future iPad Pro, which would enable wireless char,2021-06-06 12-03-56,TRUE,41,0,Apple iPhone,LA,USA,FALSE
"121",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 11-18-36,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"122",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 11-18-25,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"123",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-55-41,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"124",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 10-55-23,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"125",Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart /DY6XBQh5mB,2021-06-06 10-53-03,FALSE,7,1,Apple iPhone,LA,USA,FALSE
"126",Hey @Apple you should add a section in the iphone contacts to put someones pronouns!,2021-06-06 10-46-40,FALSE,0,0,Apple iPhone,LA,USA,FALSE
"127",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 10-43-04,TRUE,2,0,Apple iPhone,LA,USA,TRUE
"128",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /NHsvoez6Gd,2021-06-06 10-42-58,FALSE,2,0,Apple iPhone,LA,USA,FALSE
"129",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-31-47,TRUE,8,1,Apple iPhone,LA,USA,TRUE
"130",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-30-23,TRUE,8,1,Apple iPhone,LA,USA,TRUE
"131",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-27-37,TRUE,8,1,Apple iPhone,LA,USA,TRUE
"132",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-27-01,TRUE,8,1,Apple iPhone,LA,USA,TRUE
"133",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-26-49,TRUE,8,1,Apple iPhone,LA,USA,TRUE
"134",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 10-23-25,TRUE,8,1,Apple iPhone,LA,USA,TRUE
